Chinese,LatinWJ,English,resident,Landbird
黑鸢,Milvus migrans,Black Kite,R,1
黑耳鸢,Milvus migrans,Black Kite,R,1
黒鸢,Milvus migrans,Black Kite,R,1
黑鸢？,Milvus migrans,Black Kite,R,1
黑颈鸊鷉,Podiceps nigricollis,Black-necked Grebe,W,0
黑颈,Podiceps nigricollis,Black-necked Grebe,W,0
黑领椋鸟,Sturnus nigricollis,Black-collared Starling,R,1
黑领噪鹛,Garrulax pectoralis,Greater Necklaced Laughingthrush,R,1
黑领噪鹛？,Garrulax pectoralis,Greater Necklaced Laughingthrush,R,1
黑腹滨鹬,Calidris alpina,Dunlin,W,0
黑脸噪鹛,Garrulax perspicillatus,Masked Laughingthrush,R,1
黑翅鸢,Elanus caeruleus,Black-winged Kite,R,1
黑鹎,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑短脚鹎,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎山麻雀,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鵯,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎？,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑短脚别,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑眉柳莺,Phylloscopus ricketti,Sulphur-breasted warbler,S,1
黑眉柳莺？,Phylloscopus ricketti,Sulphur-breasted warbler,S,1
黑水鸡,Gallinula chloropus,Common Moorhen,R,0
红骨顶,Gallinula chloropus,Common Moorhen,R,0
黑枕黄鹂,Oriolus chinensis,Black-naped Oriole,S,1
黑尾鸥,Larus crassirostris,Black-tailed Gull,W,0
黑尾蜡嘴雀,Eophona migratoria,Yellow-billed Grosbeak,W,1
黑头蜡嘴雀,Eophona personata,Japanese Grosbeak,P,1
黑嘴鸥,Larus saundersi,Saunders's Gull,W,0
黑喉石鵖,Saxicola torquatus,Common Stonechat,P,1
黑喉石即,Saxicola torquatus,Common Stonechat,P,1
黑喉石䳭,Saxicola torquatus,Common Stonechat,P,1
黑喉石即？,Saxicola torquatus,Common Stonechat,P,1
黑喉石鶺,Saxicola torquatus,Common Stonechat,P,1
黑喉石即鸟,Saxicola torquatus,Common Stonechat,P,1
黑喉石,Saxicola torquatus,Common Stonechat,P,1
黑卷尾,Dicrurus macrocercus,Black Drongo,S,1
黄鹡鸰,Motacilla flava,Yellow Wagtail,P,1
黄颊山雀,Parus spilonotus,Yellow-cheeked Tit,R,1
藏黄雀,Carduelis spinus,Eurasian Siskin,W,1
黄雀,Carduelis spinus,Eurasian Siskin,W,1
黄臀鹎,Pycnonotus xanthorrhous,Brown-breasted Bulbul,R,1
黄臀鹎？,Pycnonotus xanthorrhous,Brown-breasted Bulbul,R,1
黄脚渔鸮,Ketupa flavipes,Tawny fish owl,R,3
黄腹鹨,Anthus rubescens,Buff-bellied Pipit,W,1
黄腹鹪莺,Prinia flaviventris,Yellow-bellied Prinia,R,1
黄腹山鹪莺,Prinia flaviventris,Yellow-bellied Prinia,R,1
黄腹山雀,Parus venustulus,Yellow-bellied Tit,R,1
黑腹山雀,Parus venustulus,Yellow-bellied Tit,R,1
黄腹山雀？,Parus venustulus,Yellow-bellied Tit,R,1
黄腹柳莺,Parus venustulus,Yellow-bellied Tit,R,1
黄腰柳莺,Phylloscopus proregulus,Pallas’s Leaf Warbler,W,1
黄胸鹀,Emberiza aureola,Yellow-breasted Bunting,P,1
黄眉鹀,Emberiza chrysophrys,Yellow-browed Bunting,W,1
黄眉鵐,Emberiza chrysophrys,Yellow-browed Bunting,W,1
黄眉柳莺,Phylloscopus inornatus,Yellow-browed Warbler,W,1
黄眉柳莺？,Phylloscopus inornatus,Yellow-browed Warbler,W,1
黄梅柳莺,Phylloscopus inornatus,Yellow-browed Warbler,W,1
黄眉,Phylloscopus inornatus,Yellow-browed Warbler,W,1
黄喉鹀,Emberiza elegans,Yellow-throated Bunting,W,1
黄喉臀,Emberiza elegans,Yellow-throated Bunting,W,1
树麻雀,Passer montanus,Eurasian Tree Sparrow,R,1
麻雀,Passer montanus,Eurasian Tree Sparrow,R,1
鹪鹩,Troglodytes troglodytes,Winter wren,W,1
鹗,Pandion haliaetus,Osprey,P,0
鶚,Pandion haliaetus,Osprey,P,0
鹌鹑？,Coturnix japonica,Japanese Quail,W,1
鹊鹞,Circus melanoleucos,Pied Harrier,W,1
鹊鸲,Copsychus saularis,Oriental Magpie Robin,R,1
鹊鸭,Bucephala clangula,Common Goldeneye,W,0
鸳鸯,Aix galericulata,Mandarin Duck,W,0
鸳鸯？,Aix galericulata,Mandarin Duck,W,0
